--- REVIEW ---
                                        normalized_query                               db_normalized  match_score  jaccard_score  sequence_score                           matched_tokens             unmatched_query             unmatched_db
0                                             123 20 tab                                 larw 20 tab        0.500         0.4286          0.6667                                  20, tab                         123                     larw
1                                       123 syrup 120 ml                          total syrup 120 ml        0.624         0.5634          0.7647                           syrup, 120, ml                         123                    total
2                                          iz globin cap                           i z globin 30 cap        0.803         0.6714          0.8667                          iz, globin, cap                         NaN                    z, 30
8                 acetylcistein 200 mg 5000 mg 20 sachet              acetylcistein 200 mg 10 sachet        0.633         0.5385          0.8529           acetylcistein, 200, mg, sachet                5000, mg, 20                       10
9    acetylcistein instant granules in 600 mg eff sachet              acetylcistein 600 mg 10 sachet        0.616         0.5833          0.6914           acetylcistein, 600, mg, sachet  instant, granules, in, eff                       10
12                   aciclovir mylan 500 mg 5 injectable                 aciclovir 500 mg injectable        0.751         0.7000          0.8710           aciclovir, 500, mg, injectable                    mylan, 5                      NaN
13               acicone s 540 mg suspension 5 ml 120 ml     farcotilium 5 mg suspension 5 ml 120 ml        0.696         0.6533          0.7949      540, mg, suspension, 5, ml, 120, ml                  acicone, s              farcotilium
14                                acitretin 25 mg 30 cap                        unitrin 25 mg 30 cap        0.745         0.6000          0.8571                          25, mg, 30, cap                   acitretin                  unitrin
16                                      acne stop lotion                    acne biotic lotion 15 ml        0.545         0.5000          0.6500                             acne, lotion                        stop           biotic, 15, ml
19                                            acnidu gel                 meditopic acnimed gel 75 ml        0.524         0.4725          0.4865                              acnidu, gel                         NaN        meditopic, 75, ml
22                               act life 200 mcg 20 cap                      arythrex 200 mg 20 cap        0.596         0.5273          0.7556                        200, mcg, 20, cap                   act, life                 arythrex
25                                        actimar 50 cap                              actimar 30 cap        0.611         0.5714          0.9286                             actimar, cap                          50                       30
27                                       actos tab 15 ml                          actos 15 mg 30 tab        0.648         0.6667          0.6061                           actos, tab, 15                          ml                   mg, 30
28                                       actos tab 30 ml                          actos 30 mg 30 tab        0.648         0.6667          0.6061                           actos, tab, 30                          ml                   mg, 30
30                                 actrapid 100 iu 10 ml           insulin h mix fridge 100 iu 10 ml        0.551         0.4615          0.5926                          100, iu, 10, ml                    actrapid  insulin, h, mix, fridge
31                  actrapid penfill 100 iu 5 injectable   insulin actrapid 5 penfills fridge 100 iu        0.768         0.7417          0.5974            actrapid, penfill, 100, iu, 5                  injectable          insulin, fridge
39                                     adol extra 24 cap                       adol extra 24 caplets        0.774         0.7222          0.8947                          adol, extra, 24                         cap                  caplets
40                                     adol sinns 24 cap                       adol sinus 24 caplets        0.760         0.7250          0.8421                          adol, sinns, 24                         cap                  caplets
47                                    aerius 5 mg 10 tab              aerius 20 film coated 5 mg tab        0.735         0.6863          0.6250                       aerius, 5, mg, tab                          10         20, film, coated
51                                     agiolax 12 sachet                   agiolax 5000 mg 12 sachet        0.845         0.7500          0.8095                      agiolax, 12, sachet                         NaN                 5000, mg
