=== HIGH SCORE REVIEWS (0.70 - 0.79) ===
                              normalized_query                                           db_normalized  match_score  jaccard_score  sequence_score                        matched_tokens
691                 lidocaine 5 20 gm ointment                                  lignocaine 20 gm 5 gel        0.800         0.7526          0.6667                  lidocaine, 5, 20, gm
97             examide 10 mg 1 ml 1 injectable                              examide 10 mg 1 injectable        0.799         0.7500          0.9123        examide, 10, mg, 1, injectable
107                       extrauma 25 gm cream                         extrauma dna 280 iu 25 gm cream        0.798         0.7000          0.7843               extrauma, 25, gm, cream
596                         ketofan s r 100 mg                                ketofan sr 100 mg 30 cap        0.798         0.6900          0.8095                   ketofan, s, 100, mg
825               merional 75 i.u 1 injectable                      epigonal fridge 75 mg 1 injectable        0.798         0.7178          0.7419           merional, 75, 1, injectable
191                       flatidyl 30 chew tab                                flatidyl 30 chewable tab        0.798         0.7500          0.9091                     flatidyl, 30, tab
866                            migracid 20 tab                                stopadol migraine 20 tab        0.797         0.7500          0.6667                     migracid, 20, tab
918                       motil fast 10 pacets                                    motil fast 10 sachet        0.795         0.7500          0.9000                       motil, fast, 10
871               minirin 60 sublingual 30 tab                              minirin melt 60 mcg 30 tab        0.792         0.7273          0.7037                  minirin, 60, 30, tab
1009                neurorubine fort 20 lactab                                neurorubine forte 20 tab        0.792         0.7375          0.9200                 neurorubine, fort, 20
485               ibidroxil 250 mg syrup 60 ml       ibidroxil for oral 250 mg powder suspension 60 ml        0.791         0.7377          0.6753            ibidroxil, 250, mg, 60, ml
234                     foradil inhaler 60 cap                    foradil inhaler sandoz 12 mcg 60 cap        0.789         0.7000          0.7586             foradil, inhaler, 60, cap
11                e moxclav 312 mg syrup 60 ml     e moxclav for oral 312.5 mg powder suspension 60 ml        0.789         0.7424          0.6582           e, moxclav, 312, mg, 60, ml
206                     floxabact 500 mg 5 tab                          floxabact 10 coated 500 mg tab        0.788         0.6931          0.7692               floxabact, 500, mg, tab
161            feroglobin b 12 imported 30 cap                      feroglobin , zinc b 12 iron 30 cap        0.787         0.6923          0.7692            feroglobin, b, 12, 30, cap
500                          incont l.a 30 tab                                  incont a 4 mg l 30 tab        0.785         0.6900          0.7692                  incont, l.a, 30, tab
235                forcetex 1000 mg injectable          forcetex i.m i.v 1000 mg injectable injectable        0.783         0.7000          0.7397        forcetex, 1000, mg, injectable
299                         gastorelive 30 tab                    gastorelive 30 film coated 50 mg tab        0.783         0.7317          0.6667                  gastorelive, 30, tab
927                           moxitrix 400 tab                       moxitrix 5 film coated 400 mg tab        0.779         0.7317          0.6531                    moxitrix, 400, tab
798                             megalase syrup                                   megalase syrup 125 ml        0.777         0.6667          0.8000                       megalase, syrup
689                               licid lotion                                      licid lotion 30 ml        0.777         0.6667          0.8000                         licid, lotion
226                    fluvermal 100 mg 18 tab                                     fluver 100 mg 6 tab        0.776         0.6400          0.8571               fluvermal, 100, mg, tab
180           flagellt forte suspension 100 ml           flagellat forte 200 mg suspension 5 ml 100 ml        0.776         0.6520          0.8312  flagellt, forte, suspension, 100, ml
43                     epifenac eye drops 5 ml                     epifenac 0.1 eye 1 mg ml drops 5 ml        0.775         0.6667          0.7931           epifenac, eye, drops, 5, ml
136              farcotilium suspension 120 ml                 farcotilium 5 mg suspension 5 ml 120 ml        0.771         0.6364          0.8529      farcotilium, suspension, 120, ml
469                hyfresh eye lubricant 10 ml                             hyfresh 0.2 eye drops 10 ml        0.771         0.7000          0.7037                  hyfresh, eye, 10, ml
554                            januvia 100 tab                       januvia 28 film coated 100 mg tab        0.770         0.7317          0.6250                     januvia, 100, tab
413                                 harvy soap                                        harvy 80 gm soap        0.767         0.6667          0.7692                           harvy, soap
576                       kefentech 30 plaster                        kefentech 7 sheets 30 mg plaster        0.767         0.6667          0.7692                kefentech, 30, plaster
908                        movy up 40 gm cream                                moov 40 gm massage cream        0.765         0.6944          0.6977                   movy, 40, gm, cream
380                                guava syrup                                      guava syrup 120 ml        0.764         0.6667          0.7586                          guava, syrup
876                        miopan syrup 100 ml                                miopan suspension 100 ml        0.762         0.7500          0.7907                       miopan, 100, ml
760                   maalox stomach 20 sachet                                  maalox lemon 20 sachet        0.760         0.7500          0.7826                    maalox, 20, sachet
733                         lohydran 10 sachet                                     lohydran 10 packets        0.759         0.7143          0.8649                          lohydran, 10
935                mucosol infant syrup 120 ml              mucosol infantile 125 mg syrup 5 ml 120 ml        0.759         0.6500          0.7826       mucosol, infant, syrup, 120, ml
310              gastromotil suspension 200 ml                gastrolmotil 5 mg suspension 5 ml 200 ml        0.758         0.6245          0.8406      gastromotil, suspension, 200, ml
955              nalbuphine 20 mg 1 injectable                            navelbine fridge 20 mg 1 cap        0.758         0.7139          0.6316                 nalbuphine, 20, mg, 1
1000                 neurobion imported 30 tab                                         neuroton 30 tab        0.757         0.7815          0.7000                    neurobion, 30, tab
241                             fortzaar 8 tab                                fortzaar 100 25 mg 8 tab        0.756         0.6667          0.7368                      fortzaar, 8, tab
684                    levohistam syrup 120 ml                      levohistam 5 mg syrup 10 ml 120 ml        0.756         0.6364          0.8070            levohistam, syrup, 120, ml
332                    glaptivia 100 mg 28 tab                     glaptivia 30 film coated 100 mg tab        0.756         0.6863          0.6897               glaptivia, 100, mg, tab
1001                    neurobion 3 injectable                              neurovit 3 ml 6 injectable        0.754         0.6397          0.7917              neurobion, 3, injectable
807        meloquin bleaching 20 gm skin cream                                  meloquin 20 gm 4 cream        0.754         0.7609          0.7368               meloquin, 20, gm, cream
158                       fenistil drops 15 ml                          fenistil 1 mg drops 1 ml 15 ml        0.754         0.6364          0.8000               fenistil, drops, 15, ml
83            eucal 50 gm herbal massage cream                                       eucal 50 gm cream        0.753         0.7778          0.6939                  eucal, 50, gm, cream
891                              modazar 8 tab                                 modazar 100 25 mg 8 tab        0.752         0.6667          0.7222                       modazar, 8, tab
916                        mosedin syrup 60 ml                           mosedin 5 mg syrup 5 ml 60 ml        0.751         0.6364          0.7917                mosedin, syrup, 60, ml
893                        moflox 400 mg 5 tab                        moflox 10 film coated 400 mg tab        0.748         0.6863          0.6667                  moflox, 400, mg, tab
558                         joypox 60 mg 3 tab                          joypox 6 film coated 60 mg tab        0.748         0.6863          0.6667                   joypox, 60, mg, tab
553                      januvia 100 mg 14 tab                       januvia 28 film coated 100 mg tab        0.748         0.6863          0.6667                 januvia, 100, mg, tab
581                    kellagon 10 effe sachet                         kellagon sachet 10 effervescent        0.747         0.7500          0.7407                  kellagon, 10, sachet
208                      flub suspension 30 ml                       flub 100 mg suspension 5 ml 30 ml        0.747         0.6364          0.7778              flub, suspension, 30, ml
159               feroglobin b 12 syrup 120 ml                                 feroglobin syrup 120 ml        0.747         0.6800          0.9020             feroglobin, 12, syrup, ml
758                maalox 40 chewable plus tab                               maalox 200 mg plus 40 tab        0.747         0.6739          0.6923                 maalox, 40, plus, tab
1034                          nido milk 576 gm                      nido milk with honey 576 gm 1 plus        0.745         0.6931          0.6400                   nido, milk, 576, gm
142                       fastel 180 mg 10 tab                        fastel 20 film coated 180 mg tab        0.744         0.6863          0.6538                  fastel, 180, mg, tab
141                       fastel 120 mg 10 tab                        fastel 20 film coated 120 mg tab        0.744         0.6863          0.6538                  fastel, 120, mg, tab
552   janumet antidiabetic 50 mg 850 mg mg tab                 janumet 56 film coated 50 mg 850 mg tab        0.743         0.7576          0.7089         janumet, 50, mg, 850, mg, tab
678                  levocarnine 500 20 mg tab                               levocarnine 500 mg 20 tab        0.742         1.0000          0.8800         levocarnine, 500, 20, mg, tab
