Row #,Original Name,Normalized Name,Status,Score,Matched Name,Matched SKU,All Candidates (JSON)
1,*CIPRALEX 10MG 28T,cipralex 10 mg 28 tab,matched,100.00%,Cipralex 10 mg 28 Tablets,125245,"[{""name"":""Cipralex 10 mg 28 Tablets"",""score"":""100.00%"",""sku"":""125245""}]"
2,*SUDOCREM 125MG CREAM,sudocrem 125 mg cream,no_match,45.40%,Solo Cream 125 gm,132295,"[{""name"":""Solo Cream 125 gm"",""score"":""45.40%"",""sku"":""132295""}]"
3,*SUDOCREM 60GM CREAM,sudocrem 60000 mg cream,no_match,30.80%,Neuropatex 600 mg 20 Capsules,126543,"[{""name"":""Neuropatex 600 mg 20 Capsules"",""score"":""30.80%"",""sku"":""126543""}]"
4,123 EXTRA 20 TAB,123 extra 20 tab,review,60.70%,Dosin 1 mg 20 Tablets,132108,"[{""name"":""Dosin 1 mg 20 Tablets"",""score"":""60.70%"",""sku"":""132108""}]"
5,123 SYP 120ML,123 syrup 120 ml,review,75.20%,Decal - B12 Syrup 120 ml,113840,"[{""name"":""Decal - B12 Syrup 120 ml"",""score"":""75.20%"",""sku"":""113840""}]"
6,20 امواس حلاقة لورد,20 امواس حلاقه لورد,no_match,32.20%,Larw 20 Tablets,128478,"[{""name"":""Larw 20 Tablets"",""score"":""32.20%"",""sku"":""128478""}]"
7,2منقار كارت,2 منقار كارت,no_match,34.40%,Fosavance 2 Tablets,49310,"[{""name"":""Fosavance 2 Tablets"",""score"":""34.40%"",""sku"":""49310""}]"
8,2منقار ملون,2 منقار ملون,no_match,34.40%,Fosavance 2 Tablets,49310,"[{""name"":""Fosavance 2 Tablets"",""score"":""34.40%"",""sku"":""49310""}]"
9,3استيك علي كارت,3 استيك علي كارت,no_match,29.90%,Lutone 3 Ampoules,129080,"[{""name"":""Lutone 3 Ampoules"",""score"":""29.90%"",""sku"":""129080""}]"
10,4 قGTT FUSION 5 موس,4 قgtt fusion 5 موس,review,53.80%,Gillette Fusion 5 Pro 4 Refills,82770,"[{""name"":""Gillette Fusion 5 Pro 4 Refills"",""score"":""53.80%"",""sku"":""82770""}]"
11,500 ML حمام كريم ارجان,حمام كريم ارجان 500 ml,no_match,33.30%,Voluven 6% 500 ml,131489,"[{""name"":""Voluven 6% 500 ml"",""score"":""33.30%"",""sku"":""131489""}]"
12,A TRIX,a trix,no_match,37.50%,Coloverin A 30 Tablets,124447,"[{""name"":""Coloverin A 30 Tablets"",""score"":""37.50%"",""sku"":""124447""}]"
13,ABIMOL 300MG INF SUPP,abimol 300 mg infant supp,review,51.00%,Abimol 300 mg 5 Rectal Suppositories,118563,"[{""name"":""Abimol 300 mg 5 Rectal Suppositories"",""score"":""51.00%"",""sku"":""118563""}]"
14,ABIMOL 500MG EXTRA 20TAB,abimol extra 500 mg 20 tab,matched,100.00%,Abimol Extra 500 mg 20 Tablets,129298,"[{""name"":""Abimol Extra 500 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129298""}]"
15,ACETON SPRAY 50ML,aceton spray 50 ml,review,58.30%,Closol Spray 50 ml,125059,"[{""name"":""Closol Spray 50 ml"",""score"":""58.30%"",""sku"":""125059""}]"
16,ACETONE LIZA 100ML,acetone liza 100 ml,review,64.80%,Acetylovan Syrup 100 ml,138785,"[{""name"":""Acetylovan Syrup 100 ml"",""score"":""64.80%"",""sku"":""138785""}]"
17,ACETYLCISTEIN 600MG 10SACH,acetylcistein 600 mg 10 sachet,matched,91.80%,Acetylcistein 600 mg 10 Sachets,128582,"[{""name"":""Acetylcistein 600 mg 10 Sachets"",""score"":""91.80%"",""sku"":""128582""}]"
18,ACETYLCISTEINE 200MG x10P,acetylcisteine x 10 p 200 mg,review,73.40%,Acetylcistein 200 mg 10 Sachets,134666,"[{""name"":""Acetylcistein 200 mg 10 Sachets"",""score"":""73.40%"",""sku"":""134666""}]"
19,ACHTENON 2MG 20TAB,achtenon 2 mg 20 tab,review,77.50%,Achtenon 2 mg 30 Tablets,132019,"[{""name"":""Achtenon 2 mg 30 Tablets"",""score"":""77.50%"",""sku"":""132019""}]"
20,ACIVIRAX 800MG 20TAB,acivirax 800 mg 20 tab,matched,100.00%,Acivirax 800 mg 20 Tablets,127351,"[{""name"":""Acivirax 800 mg 20 Tablets"",""score"":""100.00%"",""sku"":""127351""}]"
21,ACRETIN 0.025% 30GM CREAM,acretin 0.025% 30000 mg cream,review,57.10%,Acretin 0.025 % Cream 30 gm,131305,"[{""name"":""Acretin 0.025 % Cream 30 gm"",""score"":""57.10%"",""sku"":""131305""}]"
22,ACRETIN 0.05% 30GM CR,acretin 0.05% 30000 mg cream,review,56.80%,Acretin 0.05 % Cream 30 gm,133026,"[{""name"":""Acretin 0.05 % Cream 30 gm"",""score"":""56.80%"",""sku"":""133026""}]"
23,ACTI-COLLA C 10SACHETS,acti colla c 10 sachets,matched,100.00%,Acti - Colla ( C ) 10 Sachets,124912,"[{""name"":""Acti - Colla ( C ) 10 Sachets"",""score"":""100.00%"",""sku"":""124912""}]"
24,ACTRAPID 100IU/ML 5PENFILثلاجة,actrapid 5 penfilثلاجه 100 iu ml,review,62.80%,Insulin Actrapid 5 Penfills 100 IU (Fridge),133383,"[{""name"":""Insulin Actrapid 5 Penfills 100 IU (Fridge)"",""score"":""62.80%"",""sku"":""133383""}]"
25,ACYCLOVIR 400 STADA 35T,acyclovir 400 stada 35 tab,matched,100.00%,Acyclovir 400 Stada 35 Tablets,128594,"[{""name"":""Acyclovir 400 Stada 35 Tablets"",""score"":""100.00%"",""sku"":""128594""}]"
26,ACYCLOVIR 5% 10MG CREAM,acyclovir 5% 10 mg cream,review,84.70%,Acyclovir 5% Cream 10 gm,130820,"[{""name"":""Acyclovir 5% Cream 10 gm"",""score"":""84.70%"",""sku"":""130820""}]"
27,ADAPALENE0.1% GEL,adapalene 0.1% gel,review,72.10%,Aknapalene 0.1% Gel 25 gm,141858,"[{""name"":""Aknapalene 0.1% Gel 25 gm"",""score"":""72.10%"",""sku"":""141858""}]"
28,ADIDAS  SPRAY DYNAMIC PULSE150ML,adidas dynamic pulse spray 150 ml,review,76.90%,Adidas Dynamic Pulse Deodorant Spray (48H) 150 ml,138799,"[{""name"":""Adidas Dynamic Pulse Deodorant Spray (48H) 150 ml"",""score"":""76.90%"",""sku"":""138799""}]"
29,ADIDAS  SPRAY ICE DIVE150ML,adidas ice dive spray 150 ml,review,76.20%,Adidas Ice Dive Deodorant Spray (48H) 150 ml,138798,"[{""name"":""Adidas Ice Dive Deodorant Spray (48H) 150 ml"",""score"":""76.20%"",""sku"":""138798""}]"
30,ADIDAS  SPRAY VICTORY LEAGUE150ML,adidas victory league spray 150 ml,review,77.10%,Adidas Victory League Deodorant Spray (48H) 150 ml,138801,"[{""name"":""Adidas Victory League Deodorant Spray (48H) 150 ml"",""score"":""77.10%"",""sku"":""138801""}]"
31,ADIDAS SPRAY PURE GAME,adidas game spray pure,review,54.50%,Adidas Pure Game  Deodorant Spray (48H) 150 ml,138800,"[{""name"":""Adidas Pure Game  Deodorant Spray (48H) 150 ml"",""score"":""54.50%"",""sku"":""138800""}]"
32,ADOLOR 10MG 20TAB,adolor 10 mg 20 tab,matched,100.00%,Adolor 10 mg 20 Tablets,129885,"[{""name"":""Adolor 10 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129885""}]"
33,ADOLOR 15MG 3AMP,adolor 15 mg 3 injectable,review,63.60%,Adolor 15 mg/1 ml 3 Ampoules,122020,"[{""name"":""Adolor 15 mg/1 ml 3 Ampoules"",""score"":""63.60%"",""sku"":""122020""}]"
34,ADOLOR 30MG 3AMP,adolor 30 mg 3 injectable,review,63.60%,Adolor 30 mg/2 ml 3 Ampoules,126792,"[{""name"":""Adolor 30 mg/2 ml 3 Ampoules"",""score"":""63.60%"",""sku"":""126792""}]"
35,ADWIFLAM 50GM GEL,adwiflam 50000 mg gel,no_match,42.00%,Adwiflam 50 mg 20 Capsules,142437,"[{""name"":""Adwiflam 50 mg 20 Capsules"",""score"":""42.00%"",""sku"":""142437""}]"
36,ADWIFLAM 75MG 6AMB,adwiflam 6 amb 75 mg,review,69.50%,Adwiflam 75 mg/3 ml 6 Ampoules,126041,"[{""name"":""Adwiflam 75 mg/3 ml 6 Ampoules"",""score"":""69.50%"",""sku"":""126041""}]"
