Row #,Original Name,Normalized Name,Status,Score,Matched Name,Matched SKU,DB Normalized Name,Jaccard Score,Sequence Score,Matched Tokens,Unmatched Query Tokens,Unmatched DB Tokens,Candidate Count,All Candidates (JSON)
1,*CIPRALEX 10MG 28T,cipralex 10 mg 28 tab,matched,100.00%,Cipralex 10 mg 28 Tablets,125245,cipralex 10 mg 28 tab,100.00%,100.00%,"cipralex, 10, mg, 28, tab",,,7855,"[{""name"":""Cipralex 10 mg 28 Tablets"",""score"":""100.00%"",""sku"":""125245"",""db_normalized"":""cipralex 10 mg 28 tab"",""jaccard"":1,""sequence"":1,""matched"":[""cipralex"",""10"",""mg"",""28"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
2,*SUDOCREM 125MG CREAM,sudocrem 125 mg cream,no_match,45.40%,Solo Cream 125 gm,132295,solo 125 gm cream,33.33%,73.68%,"125, cream","sudocrem, mg","solo, gm",8034,"[{""name"":""Solo Cream 125 gm"",""score"":""45.40%"",""sku"":""132295"",""db_normalized"":""solo 125 gm cream"",""jaccard"":0.3333,""sequence"":0.7368,""matched"":[""125"",""cream""],""unmatched_q"":[""sudocrem"",""mg""],""unmatched_db"":[""solo"",""gm""]}]"
3,*SUDOCREM 60GM CREAM,sudocrem 60 gm cream,review,59.60%,Biocare Cream 60 gm,122834,biocare 60 gm cream,50.00%,82.05%,"60, gm, cream",sudocrem,biocare,5172,"[{""name"":""Biocare Cream 60 gm"",""score"":""59.60%"",""sku"":""122834"",""db_normalized"":""biocare 60 gm cream"",""jaccard"":0.5,""sequence"":0.8205,""matched"":[""60"",""gm"",""cream""],""unmatched_q"":[""sudocrem""],""unmatched_db"":[""biocare""]}]"
4,123 EXTRA 20 TAB,123 extra 20 tab,review,65.00%,Dosin 1 mg 20 Tablets,132108,dosin 1 mg 20 tab,69.51%,54.55%,"123, 20, tab",extra,"dosin, mg",5727,"[{""name"":""Dosin 1 mg 20 Tablets"",""score"":""65.00%"",""sku"":""132108"",""db_normalized"":""dosin 1 mg 20 tab"",""jaccard"":0.6951,""sequence"":0.5455,""matched"":[""123"",""20"",""tab""],""unmatched_q"":[""extra""],""unmatched_db"":[""dosin"",""mg""]}]"
5,123 SYP 120ML,123 syrup 120 ml,review,82.70%,Decal - B12 Syrup 120 ml,113840,decal b 12 syrup 120 ml,74.44%,76.92%,"123, syrup, 120, ml",,"decal, b",11629,"[{""name"":""Decal - B12 Syrup 120 ml"",""score"":""82.70%"",""sku"":""113840"",""db_normalized"":""decal b 12 syrup 120 ml"",""jaccard"":0.7444,""sequence"":0.7692,""matched"":[""123"",""syrup"",""120"",""ml""],""unmatched_q"":[],""unmatched_db"":[""decal"",""b""]}]"
6,20 امواس حلاقة لورد,20 blades لورد shaving,no_match,39.50%,Razor Med Surgical Blade - Size (20),50712,med 20 razor surgical blade size,39.00%,40.74%,"20, blades","لورد, shaving","med, razor, surgical, size",2367,"[{""name"":""Razor Med Surgical Blade - Size (20)"",""score"":""39.50%"",""sku"":""50712"",""db_normalized"":""med 20 razor surgical blade size"",""jaccard"":0.39,""sequence"":0.4074,""matched"":[""20"",""blades""],""unmatched_q"":[""لورد"",""shaving""],""unmatched_db"":[""med"",""razor"",""surgical"",""size""]}]"
7,2منقار كارت,2 tweezer card,no_match,39.80%,Canpol Babies Water Teether Car (2/207)(Random Color Choice),88679,canpol babies water teether car 2 207 random color choice,38.45%,30.99%,"2, tweezer, card",,"canpol, babies, water, 207, random, color, choice",796,"[{""name"":""Canpol Babies Water Teether Car (2/207)(Random Color Choice)"",""score"":""39.80%"",""sku"":""88679"",""db_normalized"":""canpol babies water teether car 2 207 random color choice"",""jaccard"":0.3845,""sequence"":0.3099,""matched"":[""2"",""tweezer"",""card""],""unmatched_q"":[],""unmatched_db"":[""canpol"",""babies"",""water"",""207"",""random"",""color"",""choice""]}]"
8,2منقار ملون,2 tweezer colored,no_match,43.40%,Lord Cool (L.157CP) 2 Plus,125442,lord cool l.157 cp 2 plus,51.77%,23.81%,"2, colored",tweezer,"cool, l.157, cp, plus",819,"[{""name"":""Lord Cool (L.157CP) 2 Plus"",""score"":""43.40%"",""sku"":""125442"",""db_normalized"":""lord cool l.157 cp 2 plus"",""jaccard"":0.5177,""sequence"":0.2381,""matched"":[""2"",""colored""],""unmatched_q"":[""tweezer""],""unmatched_db"":[""cool"",""l.157"",""cp"",""plus""]}]"
9,3استيك علي كارت,علي card 3 stick,no_match,29.30%,Schick Intuition Sensitive Care Blades 3 Pieces 4 Blades,137835,schick intuition care blades 3 pieces 4 blades sensitive,28.74%,30.56%,"card, 3, stick",علي,"intuition, blades, pieces, 4, blades, sensitive",949,"[{""name"":""Schick Intuition Sensitive Care Blades 3 Pieces 4 Blades"",""score"":""29.30%"",""sku"":""137835"",""db_normalized"":""schick intuition care blades 3 pieces 4 blades sensitive"",""jaccard"":0.2874,""sequence"":0.3056,""matched"":[""card"",""3"",""stick""],""unmatched_q"":[""علي""],""unmatched_db"":[""intuition"",""blades"",""pieces"",""4"",""blades"",""sensitive""]}]"
10,4 قGTT FUSION 5 موس,4 قgtt fusion 5 موس,review,57.20%,Gillette Fusion 5 Pro 4 Refills,82770,gillette fusion 5 pro 4 refills,59.41%,52.00%,"4, fusion, 5","قgtt, موس","gillette, pro, refills",1829,"[{""name"":""Gillette Fusion 5 Pro 4 Refills"",""score"":""57.20%"",""sku"":""82770"",""db_normalized"":""gillette fusion 5 pro 4 refills"",""jaccard"":0.5941,""sequence"":0.52,""matched"":[""4"",""fusion"",""5""],""unmatched_q"":[""قgtt"",""موس""],""unmatched_db"":[""gillette"",""pro"",""refills""]}]"
11,500 ML حمام كريم ارجان,حمام كريم ارجان 500 ml,no_match,33.60%,Voluven 6% 500 ml,131489,voluven 6 500 ml,30.00%,42.11%,"500, ml","حمام, كريم, ارجان","voluven, 6",11841,"[{""name"":""Voluven 6% 500 ml"",""score"":""33.60%"",""sku"":""131489"",""db_normalized"":""voluven 6 500 ml"",""jaccard"":0.3,""sequence"":0.4211,""matched"":[""500"",""ml""],""unmatched_q"":[""حمام"",""كريم"",""ارجان""],""unmatched_db"":[""voluven"",""6""]}]"
12,A TRIX,a trix,no_match,37.50%,Coloverin A 30 Tablets,124447,coloverin a 30 tab,42.86%,25.00%,a,trix,"coloverin, 30, tab",54,"[{""name"":""Coloverin A 30 Tablets"",""score"":""37.50%"",""sku"":""124447"",""db_normalized"":""coloverin a 30 tab"",""jaccard"":0.4286,""sequence"":0.25,""matched"":[""a""],""unmatched_q"":[""trix""],""unmatched_db"":[""coloverin"",""30"",""tab""]}]"
13,ABIMOL 300MG INF SUPP,abimol 300 mg infant supp,review,51.00%,Abimol 300 mg 5 Rectal Suppositories,118563,abimol 5 rectal suppositories 300 mg,54.55%,42.62%,"abimol, 300, mg","infant, supp","5, rectal, suppositories",5766,"[{""name"":""Abimol 300 mg 5 Rectal Suppositories"",""score"":""51.00%"",""sku"":""118563"",""db_normalized"":""abimol 5 rectal suppositories 300 mg"",""jaccard"":0.5455,""sequence"":0.4262,""matched"":[""abimol"",""300"",""mg""],""unmatched_q"":[""infant"",""supp""],""unmatched_db"":[""5"",""rectal"",""suppositories""]}]"
14,ABIMOL 500MG EXTRA 20TAB,abimol extra 500 mg 20 tab,matched,100.00%,Abimol Extra 500 mg 20 Tablets,129298,abimol extra 500 mg 20 tab,100.00%,100.00%,"abimol, extra, 500, mg, 20, tab",,,8137,"[{""name"":""Abimol Extra 500 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129298"",""db_normalized"":""abimol extra 500 mg 20 tab"",""jaccard"":1,""sequence"":1,""matched"":[""abimol"",""extra"",""500"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
15,ACETON SPRAY 50ML,aceton spray 50 ml,review,60.80%,Vacation Sunscreen Lotion Spray SPF 50 200 ml,108090,vacation sunscreen spf 50 lotion spray 200 ml,55.84%,53.97%,"aceton, spray, 50, ml",,"sunscreen, spf, lotion, 200",12639,"[{""name"":""Vacation Sunscreen Lotion Spray SPF 50 200 ml"",""score"":""60.80%"",""sku"":""108090"",""db_normalized"":""vacation sunscreen spf 50 lotion spray 200 ml"",""jaccard"":0.5584,""sequence"":0.5397,""matched"":[""aceton"",""spray"",""50"",""ml""],""unmatched_q"":[],""unmatched_db"":[""sunscreen"",""spf"",""lotion"",""200""]}]"
16,ACETONE LIZA 100ML,acetone liza 100 ml,review,64.80%,Acetylovan Syrup 100 ml,138785,acetylovan syrup 100 ml,63.97%,66.67%,"acetone, 100, ml",liza,syrup,12254,"[{""name"":""Acetylovan Syrup 100 ml"",""score"":""64.80%"",""sku"":""138785"",""db_normalized"":""acetylovan syrup 100 ml"",""jaccard"":0.6397,""sequence"":0.6667,""matched"":[""acetone"",""100"",""ml""],""unmatched_q"":[""liza""],""unmatched_db"":[""syrup""]}]"
17,ACETYLCISTEIN 600MG 10SACH,acetylcistein 600 mg 10 sachet,matched,100.00%,Acetylcistein 600 mg 10 Sachets,128582,acetylcistein 600 mg 10 sachet,100.00%,100.00%,"acetylcistein, 600, mg, 10, sachet",,,6987,"[{""name"":""Acetylcistein 600 mg 10 Sachets"",""score"":""100.00%"",""sku"":""128582"",""db_normalized"":""acetylcistein 600 mg 10 sachet"",""jaccard"":1,""sequence"":1,""matched"":[""acetylcistein"",""600"",""mg"",""10"",""sachet""],""unmatched_q"":[],""unmatched_db"":[]}]"
18,ACETYLCISTEINE 200MG x10P,acetylcisteine 10 200 mg,matched,90.30%,Acetylcistein 200 mg 10 Sachets,134666,acetylcistein 200 mg 10 sachet,85.56%,74.07%,"acetylcisteine, 10, 200, mg",,sachet,7996,"[{""name"":""Acetylcistein 200 mg 10 Sachets"",""score"":""90.30%"",""sku"":""134666"",""db_normalized"":""acetylcistein 200 mg 10 sachet"",""jaccard"":0.8556,""sequence"":0.7407,""matched"":[""acetylcisteine"",""10"",""200"",""mg""],""unmatched_q"":[],""unmatched_db"":[""sachet""]}]"
19,ACHTENON 2MG 20TAB,achtenon 2 mg 20 tab,matched,85.20%,Achtenon 2 mg 30 Tablets,132019,achtenon 2 mg 30 tab,70.00%,95.00%,"achtenon, 2, mg, tab",20,30,7983,"[{""name"":""Achtenon 2 mg 30 Tablets"",""score"":""85.20%"",""sku"":""132019"",""db_normalized"":""achtenon 2 mg 30 tab"",""jaccard"":0.7,""sequence"":0.95,""matched"":[""achtenon"",""2"",""mg"",""tab""],""unmatched_q"":[""20""],""unmatched_db"":[""30""]}]"
20,ACIVIRAX 800MG 20TAB,acivirax 800 mg 20 tab,matched,100.00%,Acivirax 800 mg 20 Tablets,127351,acivirax 800 mg 20 tab,100.00%,100.00%,"acivirax, 800, mg, 20, tab",,,7480,"[{""name"":""Acivirax 800 mg 20 Tablets"",""score"":""100.00%"",""sku"":""127351"",""db_normalized"":""acivirax 800 mg 20 tab"",""jaccard"":1,""sequence"":1,""matched"":[""acivirax"",""800"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
21,ACRETIN 0.025% 30GM CREAM,acretin 0.025 30 gm cream,matched,100.00%,Acretin 0.05 % Cream 30 gm,133026,acretin 30 gm 0.05 cream,97.53%,77.55%,"acretin, 0.025, 30, gm, cream",,,8096,"[{""name"":""Acretin 0.05 % Cream 30 gm"",""score"":""100.00%"",""sku"":""133026"",""db_normalized"":""acretin 30 gm 0.05 cream"",""jaccard"":0.9753,""sequence"":0.7755,""matched"":[""acretin"",""0.025"",""30"",""gm"",""cream""],""unmatched_q"":[],""unmatched_db"":[]}]"
22,ACRETIN 0.05% 30GM CR,acretin 0.05 30 gm cream,matched,100.00%,Acretin 0.05 % Cream 30 gm,133026,acretin 30 gm 0.05 cream,100.00%,79.17%,"acretin, 0.05, 30, gm, cream",,,8100,"[{""name"":""Acretin 0.05 % Cream 30 gm"",""score"":""100.00%"",""sku"":""133026"",""db_normalized"":""acretin 30 gm 0.05 cream"",""jaccard"":1,""sequence"":0.7917,""matched"":[""acretin"",""0.05"",""30"",""gm"",""cream""],""unmatched_q"":[],""unmatched_db"":[]}]"
23,ACTI-COLLA C 10SACHETS,acti colla c 10 sachet,matched,100.00%,Acti - Colla ( C ) 10 Sachets,124912,acti colla c 10 sachet,100.00%,100.00%,"acti, colla, c, 10, sachet",,,2895,"[{""name"":""Acti - Colla ( C ) 10 Sachets"",""score"":""100.00%"",""sku"":""124912"",""db_normalized"":""acti colla c 10 sachet"",""jaccard"":1,""sequence"":1,""matched"":[""acti"",""colla"",""c"",""10"",""sachet""],""unmatched_q"":[],""unmatched_db"":[]}]"
24,ACTRAPID 100IU/ML 5PENFILثلاجة,actrapid 5 penfilثلاجه 100 iu ml,review,62.80%,Insulin Actrapid 5 Penfills 100 IU (Fridge),133383,insulin actrapid 5 penfills fridge 100 iu,61.54%,65.75%,"actrapid, 5, 100, iu","penfilثلاجه, ml","insulin, penfills, fridge",13049,"[{""name"":""Insulin Actrapid 5 Penfills 100 IU (Fridge)"",""score"":""62.80%"",""sku"":""133383"",""db_normalized"":""insulin actrapid 5 penfills fridge 100 iu"",""jaccard"":0.6154,""sequence"":0.6575,""matched"":[""actrapid"",""5"",""100"",""iu""],""unmatched_q"":[""penfilثلاجه"",""ml""],""unmatched_db"":[""insulin"",""penfills"",""fridge""]}]"
25,ACYCLOVIR 400 STADA 35T,acyclovir 400 stada 35 tab,matched,100.00%,Acyclovir 400 Stada 35 Tablets,128594,acyclovir 400 stada 35 tab,100.00%,100.00%,"acyclovir, 400, stada, 35, tab",,,4855,"[{""name"":""Acyclovir 400 Stada 35 Tablets"",""score"":""100.00%"",""sku"":""128594"",""db_normalized"":""acyclovir 400 stada 35 tab"",""jaccard"":1,""sequence"":1,""matched"":[""acyclovir"",""400"",""stada"",""35"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
26,ACYCLOVIR 5% 10MG CREAM,acyclovir 5 10 mg cream,matched,90.30%,Acyclovir 5% Cream 10 gm,130820,acyclovir 10 gm 5 cream,80.00%,86.96%,"acyclovir, 5, 10, cream",mg,gm,9503,"[{""name"":""Acyclovir 5% Cream 10 gm"",""score"":""90.30%"",""sku"":""130820"",""db_normalized"":""acyclovir 10 gm 5 cream"",""jaccard"":0.8,""sequence"":0.8696,""matched"":[""acyclovir"",""5"",""10"",""cream""],""unmatched_q"":[""mg""],""unmatched_db"":[""gm""]}]"
27,ADAPALENE0.1% GEL,adapalene 0.1 gel,review,78.90%,Aknapalene 0.1% Gel 25 gm,141858,aknapalene 25 gm 0.1 gel,69.08%,78.05%,"adapalene, 0.1, gel",,"25, gm",1377,"[{""name"":""Aknapalene 0.1% Gel 25 gm"",""score"":""78.90%"",""sku"":""141858"",""db_normalized"":""aknapalene 25 gm 0.1 gel"",""jaccard"":0.6908,""sequence"":0.7805,""matched"":[""adapalene"",""0.1"",""gel""],""unmatched_q"":[],""unmatched_db"":[""25"",""gm""]}]"
28,ADIDAS  SPRAY DYNAMIC PULSE150ML,adidas dynamic pulse spray 150 ml,matched,89.30%,Adidas Dynamic Pulse Deodorant Spray (48H) 150 ml,138799,adidas dynamic pulse 48 h deodorant spray 150 ml,81.08%,81.48%,"adidas, dynamic, pulse, spray, 150, ml",,"48, h, deodorant",11606,"[{""name"":""Adidas Dynamic Pulse Deodorant Spray (48H) 150 ml"",""score"":""89.30%"",""sku"":""138799"",""db_normalized"":""adidas dynamic pulse 48 h deodorant spray 150 ml"",""jaccard"":0.8108,""sequence"":0.8148,""matched"":[""adidas"",""dynamic"",""pulse"",""spray"",""150"",""ml""],""unmatched_q"":[],""unmatched_db"":[""48"",""h"",""deodorant""]}]"
29,ADIDAS  SPRAY ICE DIVE150ML,adidas ice dive spray 150 ml,matched,88.50%,Adidas Ice Dive Deodorant Spray (48H) 150 ml,138798,adidas ice dive 48 h deodorant spray 150 ml,81.08%,78.87%,"adidas, ice, dive, spray, 150, ml",,"48, h, deodorant",11606,"[{""name"":""Adidas Ice Dive Deodorant Spray (48H) 150 ml"",""score"":""88.50%"",""sku"":""138798"",""db_normalized"":""adidas ice dive 48 h deodorant spray 150 ml"",""jaccard"":0.8108,""sequence"":0.7887,""matched"":[""adidas"",""ice"",""dive"",""spray"",""150"",""ml""],""unmatched_q"":[],""unmatched_db"":[""48"",""h"",""deodorant""]}]"
30,ADIDAS  SPRAY VICTORY LEAGUE150ML,adidas victory league spray 150 ml,matched,89.50%,Adidas Victory League Deodorant Spray (48H) 150 ml,138801,adidas victory league 48 h deodorant spray 150 ml,81.08%,81.93%,"adidas, victory, league, spray, 150, ml",,"48, h, deodorant",11600,"[{""name"":""Adidas Victory League Deodorant Spray (48H) 150 ml"",""score"":""89.50%"",""sku"":""138801"",""db_normalized"":""adidas victory league 48 h deodorant spray 150 ml"",""jaccard"":0.8108,""sequence"":0.8193,""matched"":[""adidas"",""victory"",""league"",""spray"",""150"",""ml""],""unmatched_q"":[],""unmatched_db"":[""48"",""h"",""deodorant""]}]"
31,ADIDAS SPRAY PURE GAME,adidas game spray pure,review,63.70%,Adidas Pure Game  Deodorant Spray (48H) 150 ml,138800,adidas game 48 h pure deodorant spray 150 ml,59.41%,54.55%,"adidas, game, spray, pure",,"48, h, deodorant, 150, ml",1097,"[{""name"":""Adidas Pure Game  Deodorant Spray (48H) 150 ml"",""score"":""63.70%"",""sku"":""138800"",""db_normalized"":""adidas game 48 h pure deodorant spray 150 ml"",""jaccard"":0.5941,""sequence"":0.5455,""matched"":[""adidas"",""game"",""spray"",""pure""],""unmatched_q"":[],""unmatched_db"":[""48"",""h"",""deodorant"",""150"",""ml""]}]"
32,ADOLOR 10MG 20TAB,adolor 10 mg 20 tab,matched,100.00%,Adolor 10 mg 20 Tablets,129885,adolor 10 mg 20 tab,100.00%,100.00%,"adolor, 10, mg, 20, tab",,,8646,"[{""name"":""Adolor 10 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129885"",""db_normalized"":""adolor 10 mg 20 tab"",""jaccard"":1,""sequence"":1,""matched"":[""adolor"",""10"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
33,ADOLOR 15MG 3AMP,adolor 15 mg 3 injectable,matched,93.00%,Adolor 15 mg/1 ml 3 Ampoules,122020,adolor 15 mg 1 ml 3 injectable,81.82%,90.91%,"adolor, 15, mg, 3, injectable",,"1, ml",7087,"[{""name"":""Adolor 15 mg/1 ml 3 Ampoules"",""score"":""93.00%"",""sku"":""122020"",""db_normalized"":""adolor 15 mg 1 ml 3 injectable"",""jaccard"":0.8182,""sequence"":0.9091,""matched"":[""adolor"",""15"",""mg"",""3"",""injectable""],""unmatched_q"":[],""unmatched_db"":[""1"",""ml""]}]"
34,ADOLOR 30MG 3AMP,adolor 30 mg 3 injectable,matched,93.00%,Adolor 30 mg/2 ml 3 Ampoules,126792,adolor 30 mg 2 ml 3 injectable,81.82%,90.91%,"adolor, 30, mg, 3, injectable",,"2, ml",8894,"[{""name"":""Adolor 30 mg/2 ml 3 Ampoules"",""score"":""93.00%"",""sku"":""126792"",""db_normalized"":""adolor 30 mg 2 ml 3 injectable"",""jaccard"":0.8182,""sequence"":0.9091,""matched"":[""adolor"",""30"",""mg"",""3"",""injectable""],""unmatched_q"":[],""unmatched_db"":[""2"",""ml""]}]"
35,ADWIFLAM 50GM GEL,adwiflam 50 gm gel,review,73.50%,Adwiflam Emulgel 50 gm,129218,adwiflam emulgel 50 gm,75.00%,70.00%,"adwiflam, 50, gm",gel,emulgel,5779,"[{""name"":""Adwiflam Emulgel 50 gm"",""score"":""73.50%"",""sku"":""129218"",""db_normalized"":""adwiflam emulgel 50 gm"",""jaccard"":0.75,""sequence"":0.7,""matched"":[""adwiflam"",""50"",""gm""],""unmatched_q"":[""gel""],""unmatched_db"":[""emulgel""]}]"
36,ADWIFLAM 75MG 6AMB,adwiflam 75 mg 6 injectable,matched,93.20%,Adwiflam 75 mg/3 ml 6 Ampoules,126041,adwiflam 75 mg 3 ml 6 injectable,81.82%,91.53%,"adwiflam, 75, mg, 6, injectable",,"3, ml",6394,"[{""name"":""Adwiflam 75 mg/3 ml 6 Ampoules"",""score"":""93.20%"",""sku"":""126041"",""db_normalized"":""adwiflam 75 mg 3 ml 6 injectable"",""jaccard"":0.8182,""sequence"":0.9153,""matched"":[""adwiflam"",""75"",""mg"",""6"",""injectable""],""unmatched_q"":[],""unmatched_db"":[""3"",""ml""]}]"
37,AERIUS 5MG 20TAB,aerius 5 mg 20 tab,matched,96.00%,Aerius 5 mg 20 Film Coated Tablets,127697,aerius 20 film coated 5 mg tab,97.83%,62.50%,"aerius, 5, mg, 20, tab",,"film, coated",7988,"[{""name"":""Aerius 5 mg 20 Film Coated Tablets"",""score"":""96.00%"",""sku"":""127697"",""db_normalized"":""aerius 20 film coated 5 mg tab"",""jaccard"":0.9783,""sequence"":0.625,""matched"":[""aerius"",""5"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[""film"",""coated""]}]"
38,AEROCHAMBER مصري,aerochamber egyptian,no_match,44.00%,Granzia Vento-2 Aerochamber,84062,granzia vento 2 aerochamber,42.86%,46.81%,aerochamber,egyptian,"granzia, vento, 2",4,"[{""name"":""Granzia Vento-2 Aerochamber"",""score"":""44.00%"",""sku"":""84062"",""db_normalized"":""granzia vento 2 aerochamber"",""jaccard"":0.4286,""sequence"":0.4681,""matched"":[""aerochamber""],""unmatched_q"":[""egyptian""],""unmatched_db"":[""granzia"",""vento"",""2""]}]"
39,AFROMED 30 CAP,afromed 30 cap,matched,100.00%,Afromed 30 Capsules,140131,afromed 30 cap,100.00%,100.00%,"afromed, 30, cap",,,5136,"[{""name"":""Afromed 30 Capsules"",""score"":""100.00%"",""sku"":""140131"",""db_normalized"":""afromed 30 cap"",""jaccard"":1,""sequence"":1,""matched"":[""afromed"",""30"",""cap""],""unmatched_q"":[],""unmatched_db"":[]}]"
40,AGERA ACNE CREAM 50G,agera acne 50 gm cream,matched,96.10%,Agera Cream 50 gm,82549,agera 50 gm cream,87.50%,87.18%,"agera, 50, gm, cream",acne,,5959,"[{""name"":""Agera Cream 50 gm"",""score"":""96.10%"",""sku"":""82549"",""db_normalized"":""agera 50 gm cream"",""jaccard"":0.875,""sequence"":0.8718,""matched"":[""agera"",""50"",""gm"",""cream""],""unmatched_q"":[""acne""],""unmatched_db"":[]}]"
41,AGGREX 75MG 60TAB,aggrex 75 mg 60 tab,matched,100.00%,Aggrex 75 mg 60 Tablets,127936,aggrex 75 mg 60 tab,100.00%,100.00%,"aggrex, 75, mg, 60, tab",,,7794,"[{""name"":""Aggrex 75 mg 60 Tablets"",""score"":""100.00%"",""sku"":""127936"",""db_normalized"":""aggrex 75 mg 60 tab"",""jaccard"":1,""sequence"":1,""matched"":[""aggrex"",""75"",""mg"",""60"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
